id,UMAP1,UMAP2,supervoxel_id,position,side,region,flow,super_class,hemilineage,cell_function,nerve,cell_type,fafb_cell_type,manc_cell_type,cluster,super_cluster
720575941511256140,6.42075070192737,0.718899134703431,75512879524869769,"102314, 216163, 5855",right,ventral_nerve_cord,efferent,visceral_circulatory,NA,"diuresis,stress_tolerance,pain_threshold",right_second_abdominal_nerve,EFFabg38,NA,MNad25,EFF_15,energy homeostasis
720575941588099140,9.081748092674435,-3.358484741143437,75366849428344808,"98176, 58852, 1249",right,central_brain,efferent,motor,putative_primary,proboscis_motor,right_maxillary-labial_nerve,MN1,MN1,NA,EFF_01,proboscis-antenna
720575941496173947,-5.949901973701297,3.1980563440997933,76498591631799733,"129694, 232528, 5548",left,ventral_nerve_cord,efferent,motor,15B,leg_motor,left_metathoracic_leg_nerve,long_tendon_muscle_ltm_B,NA,ltm1-tibia MN,EFF_13,middle-hind leg
720575941511197516,-3.671513950324832,-4.695836182526794,75862592136220094,"111833, 153548, 2611",right,ventral_nerve_cord,efferent,motor,15B,leg_motor,right_prothoracic_leg_nerve,long_tendon_muscle_B_femur,NA,ltm1-tibia MN,EFF_11,middle-hind leg
720575941692129243,-4.50186864087659,-4.933245774201616,75791948648101729,"109481, 144936, 3072",right,ventral_nerve_cord,efferent,motor,NA,leg_motor,right_ventral_prothoracic_nerve,sternal_anterior_rotator_miller_31,NA,Sternal anterior rotator MN,EFF_11,front leg
720575941486583046,-1.9589592571027832,-3.1140364369671008,75442785322733579,"99192, 224735, 4449",right,ventral_nerve_cord,efferent,motor,15B,leg_motor,right_metathoracic_leg_nerve,long_tendon_muscle_B,NA,ltm1-tibia MN,EFF_10,middle-hind leg
720575941524748877,-7.5399860496290305,0.5968735256870125,77199392318393347,"149627,146177,3347",left,ventral_nerve_cord,efferent,motor,15B,leg_motor,left_prothoracic_leg_nerve,long_tendon_muscle_B,NA,ltm1-tibia MN,EFF_14,middle-hind leg
720575941612256476,-6.528271114326297,3.5614234247882623,76076448020586226,"117586, 234336, 6044",left,ventral_nerve_cord,efferent,motor,19A,leg_motor,left_metathoracic_leg_nerve,accessory_tibia_flexor_A,NA,auto:IN19A005,EFF_13,middle-hind leg
720575941594091397,-2.8116129989393337,-2.802033062867376,75653203957861195,"105523, 202820, 2925",right,ventral_nerve_cord,efferent,motor,24B.25B,leg_motor,right_mesothoracic_leg_nerve,trochanter_flexor_MesoAN,NA,Tr flexor MN,EFF_10,middle-hind leg
720575941443907754,-5.652344619727896,4.139438275404729,77060647896191978,"146163, 206036, 4108",left,ventral_nerve_cord,efferent,motor,19A,leg_motor,left_mesothoracic_leg_nerve,trochanter_extensor_LinJ,NA,Tr extensor MN,EFF_13,middle-hind leg
720575941656372304,-4.405041610694712,-5.350238915375915,75510541787108478,"101418,146269,852",right,ventral_nerve_cord,efferent,motor,24B.25B,leg_motor,right_ventral_prothoracic_nerve,trochanter_flexor_VProN,NA,Tr flexor MN,EFF_11,front leg
720575941569766302,-2.655928527808963,-2.830218430451593,75582216939863407,"102425,185416,3729",right,ventral_nerve_cord,efferent,motor,24B.25B,leg_motor,right_mesothoracic_leg_nerve,trochanter_flexor_MesoLN_ventral_5,NA,Tr flexor MN,EFF_10,middle-hind leg
720575941603110134,9.089334095024322,-3.329429026536193,76984986947089004,"143725, 49005, 1254",left,central_brain,efferent,motor,putative_primary,proboscis_motor,left_maxillary-labial_nerve,MN2V,MN2V,NA,EFF_01,proboscis-antenna
720575941520237559,6.241255367302132,-0.8973503968040605,76145992131127851,"118918, 210221, 6110",left,ventral_nerve_cord,efferent,motor,NA,NA,left_second_abdominal_nerve,ENXXX226,NA,ENXXX226,EFF_16,thoracic-abdominal
720575941596050112,-1.1677657718427767,2.831019524641779,75862867618527307,"111812,159859,5084",left,ventral_nerve_cord,efferent,motor,03B,wing_power,right_posterior_dorsal_mesothoracic_nerve,DLM5,NA,DLMn c-f,EFF_09,flight-energy-power
720575941454380013,8.966032588981834,-3.100843664101806,76563049292830523,"132754, 55889, 875",right,central_brain,efferent,motor,putative_primary,proboscis_motor,right_maxillary-labial_nerve,MN6,MN6,NA,EFF_01,proboscis-antenna
720575941529911525,5.350825155281247,2.3374120035846517,75021604253923122,"86262, 255725, 6821",left,ventral_nerve_cord,efferent,motor,00B,NA,abdominal_nerve_trunk,EFFabg01,NA,MNad50,EFF_03,abdomen-positioning
720575941487732432,-6.34937897870618,3.167240742750927,76357648119007276,"126276, 225817, 5912",left,ventral_nerve_cord,efferent,motor,19A,leg_motor,left_metathoracic_leg_nerve,accessory_tibia_flexor_B,NA,Ti extensor MN,EFF_13,middle-hind leg
720575941518204888,-4.402638351417362,-4.990758534363952,75580223738922759,"104073,126612,2503",right,ventral_nerve_cord,efferent,motor,08A,leg_motor,right_dorsal_prothoracic_nerve,tergopleural_promotor_pleural_promotor_miller_28_30,NA,Tergopleural/Pleural promotor MN,EFF_11,front leg
720575941499964555,-4.3191289062269265,-4.941865321091872,76003192253163050,"115213, 147746, 3030",right,ventral_nerve_cord,efferent,motor,08A,leg_motor,right_prothoracic_accessory_nerve,sternal_adductor_ProAN,NA,Sternal adductor MN,EFF_11,front leg
720575941623183612,2.5211640839807403,0.9906731882770382,75583866945275351,"103429, 235130, 6492",left,ventral_nerve_cord,efferent,motor,19A,NA,abdominal_nerve_trunk,EFFabg11,NA,MNad11,EFF_07,abdomen motor 1
720575941503444162,5.2078302746049765,2.0887447634418352,75162066596094961,"90927, 247454, 5853",right,ventral_nerve_cord,efferent,motor,06A,NA,abdominal_nerve_trunk,EFFabg97f,NA,auto:INXXX188,EFF_03,abdomen-positioning
720575941461333648,-7.905044948554813,0.1854187288959359,77128886202499025,"148538,142397,3645",left,ventral_nerve_cord,efferent,motor,17X,leg_motor,left_ventral_prothoracic_nerve,tergotrochanter_extensor,NA,Tergotr. MN,EFF_14,front leg
720575941409035691,-6.413388645149051,3.2035671511371553,76076448020392717,"118293, 233973, 5983",left,ventral_nerve_cord,efferent,motor,15B,leg_motor,left_metathoracic_leg_nerve,accessory_tibia_flexor_A,NA,Acc. ti flexor MN,EFF_13,middle-hind leg
720575941643248328,-6.518335735297977,3.406784657545839,76287348094388139,"123671, 227871, 5926",left,ventral_nerve_cord,efferent,motor,15B,leg_motor,left_metathoracic_leg_nerve,accessory_tibia_flexor_A,NA,Acc. ti flexor MN,EFF_13,middle-hind leg
720575941405886511,0.2319221143953218,1.3059500494678353,75021123083214863,"87218, 240023, 6258",right,ventral_nerve_cord,efferent,motor,19B,NA,right_fourth_abdominal_nerve,EFFabg24,NA,MNad43,EFF_09,abdomen motor 2
720575941412001940,8.411168182396082,-1.4533301031510497,76491993286650936,"129508, 35835, 564",left,central_brain,efferent,motor,putative_primary,pharynx_motor,left_pharyngeal_nerve,MNx03,MNx03,NA,EFF_02,ingestion-digestion
720575941596267121,7.580837333702267,0.2530585566242074,75513016963310623,"101553, 220008, 5670",right,ventral_nerve_cord,efferent,visceral_circulatory,NA,"diuresis,stress_tolerance,pain_threshold",right_fourth_abdominal_nerve,EFFabg36,NA,MNad18,EFF_04,energy homeostasis
720575941557562862,-6.151004230476187,-3.5872665604870044,75932755057209519,"113245, 145996, 3841",right,ventral_nerve_cord,efferent,visceral_circulatory,21X,NA,right_dorsal_prothoracic_nerve,EN21X001,NA,EN21X001,EFF_12,head-eye-antenna
