root_id,UMAP1,UMAP2,supervoxel_id,position,side,region,super_class,hemilineage,cell_function,cell_type,fafb_cell_type,manc_cell_type,super_cluster,cns_network
720575941416075548,1.6330032068381142,1.7955043234616983,75436256838309246,"99500, 29348, 3971",right,central_brain,central_brain_intrinsic,VLPl&d1_dorsal,NA,AVLP244,AVLP244,NA,NA,lateral brain
720575941416098076,-2.0406626743188063,-10.339795835992652,78673631185928825,"193284, 42553, 3173",left,optic_lobe,visual_projection,NA,NA,LLPC3,LLPC3,NA,NA,left visual
720575941416119324,-0.06652033523823504,-1.1653492531984575,75788787284485683,"109200, 51067, 2283",right,central_brain,central_brain_intrinsic,MX3,NA,CB3803,CB3803,NA,NA,posterior brain
720575941416119444,3.8680973964819745,5.731662980535675,74451781480147899,"70100, 49448, 3382",right,optic_lobe,visual_projection,VPNd1,visual,LPLC4,LPLC4,NA,NA,right visual
720575941416269852,-2.107297090899008,-4.171119936487031,77054806338462045,"147339, 31658, 2739",left,central_brain,central_brain_intrinsic,LALa1_anterior,NA,CB0719,CB0719,NA,NA,lateral brain
720575941416287260,5.947414489377481,-13.68597579815085,77196162905627693,"150694, 49319, 4878",left,central_brain,central_brain_intrinsic,MBp,NA,KCg-m,KCg-m,NA,NA,left olfactory
720575941416304668,0.017548786390764674,-1.1490157923906574,75437149722088172,"99526, 56440, 2292",right,central_brain,central_brain_intrinsic,LB3,NA,CB2084,CB2084,NA,NA,posterior brain
720575941416310300,1.7505184131750893,-3.239568956872774,76633006659939620,"134706, 45050, 4500",left,central_brain,central_brain_intrinsic,DM1_dorsal,NA,CB2519,CB2519,NA,NA,inferior brain
720575941416313628,6.019875617612345,-14.195987471124484,77266462863322348,"151657,48467,4661",left,central_brain,central_brain_intrinsic,MBp,NA,KCg-d,KCg-d,NA,NA,left olfactory
720575941416341276,13.022912593472943,7.309149495580841,75928631553542675,"112895, 24311, 2675",right,central_brain,central_brain_intrinsic,ALad1,olfactory,VM5v_adPN,VM5v_adPN,NA,NA,right olfactory
720575941416439068,0.10354839443062064,2.4789135374814744,74732637713318283,"79684,32528,2412",right,central_brain,central_brain_intrinsic,VLPa2,NA,CB2426,CB2426,NA,NA,lateral brain
720575941416464412,3.8457919078955487,7.720339051702666,74451574986299479,"70315, 44627, 2157",right,optic_lobe,visual_projection,NA,escape_takeoff,LC4,LC4,NA,NA,right visual
720575941416482844,-11.512563137423054,-0.011142820796323866,75936053794060117,"113180, 244436, 4824",left,ventral_nerve_cord,ventral_nerve_cord_intrinsic,04B,NA,IN04B052,NA,IN04B052,NA,leg VNC
720575941416550940,-2.1086997073998623,-10.38674236156638,78251968208169709,"180493, 57890, 2125",left,optic_lobe,visual_projection,NA,NA,NA,auto:LLPC2,NA,NA,left visual
720575941416585756,5.4587474781164955,-14.568332441827609,77055425283119932,"147201, 50666, 4379",left,central_brain,central_brain_intrinsic,MBp,NA,KCg,KCab,NA,NA,left olfactory
720575941416594204,0.7131201940665076,-5.5464379868715525,77195681534161627,"150281, 36592, 3752",left,central_brain,central_brain_intrinsic,DL1_ventral,NA,AOTU059,AOTU059,NA,NA,inferior brain
720575941416594972,0.869667323220713,-2.0190968594759235,75225906117602727,"93564,52116,2524",right,central_brain,central_brain_intrinsic,DM6_ventral,NA,CB1477,CB1477,NA,NA,posterior brain
720575941416595228,14.760598750699502,8.502602807501006,75647844308773227,"105331, 44802, 4851",right,central_brain,central_brain_intrinsic,MBp,NA,KCab,KCab,NA,NA,right olfactory
720575941416624924,-12.266053585421101,0.4211212017328014,75513153932750809,"102326, 224212, 3970",right,ventral_nerve_cord,ventral_nerve_cord_intrinsic,16B,NA,IN16B082,NA,IN16B082,NA,leg VNC
720575941416629020,-8.395075230013386,4.675623170355009,75863966727330627,"112068, 193715, 3482",right,ventral_nerve_cord,ventral_nerve_cord_intrinsic,20A.22A,NA,IN20A.22A053,NA,IN20A.22A053,NA,leg VNC
