flow,super_class,cell_class,cell_sub_class,cell_type,region,side,cell_function,cell_function_detailed,peripheral_target_type,body_part_sensory,body_part_effector,nerve,hemilineage,sexually_dimorphic,neurotransmitter_verified,neuropeptide_verified,neurotransmitter_predicted,other_names,alignment_cell_type,fafb_783_cell_type,manc_121_cell_type,fanc_1116_cell_type,hemibrain_121_cell_type,malecns_09_cell_type,fafb_783_match_id,manc_121_match_id,fanc_1116_match_id,hemibrain_121_match_id,malecns_09_match_id
,,optic_anterior,FS,,,,,"sugar, Gr5a, Ir60d",sternal_posterior_rotator_muscle,,,,DM1_CX_p,,,,,,,,,,,,,,,,
,,optic_lobe_intrinsic_centrifugal,hair_plate_neuron,,,,,"sugar, Gr64f",sternotrochanter_extensor_muscle,,,,DM1_CX_v,,,,,,,,,,,,,,,,
,,orphan_neuron,haltere_bristle_neuron,,,,,"sugar, low_salt, Gr64f, Ir56b",strand,,,,DM1_dorsal,,,,,,,,,,,,,,,,
,,oxygenation_neuron,haltere_campaniform_sensillum_neuron,,,,,tonic_wing_steering,tarsus_depressor_muscle,,,,DM1_posterior,,,,,,,,,,,,,,,,
,,pars_intercerebralis_neurosecretory_cell,haltere_chordotonal_organ_neuron,,,,,unknown_haltere,tarsus_levator_muscle,,,,DM2_central,,,,,,,,,,,,,,,,
,,pars_lateralis_neurosecretory_cell,haltere_motor_neuron,,,,,unknown_leg_movement,taste_bristle,,,,DM2_CX_d1,,,,,,,,,,,,,,,,
,,peripheral_intrinsic_neuron,haltere_orphan_neuron,,,,,vibro_position,taste_peg,,,,DM2_CX_d2,,,,,,,,,,,,,,,,
,,pharynx_motor_neuron,haltere_power_neuron,,,,,vibro_tactile,tergopleural_promotor_muscle,,,,DM2_CX_p,,,,,,,,,,,,,,,,
,,photoreceptor_neuron,haltere_steering_neuron,,,,,water,tergotrochanter_extensor_muscle,,,,DM2_CX_v,,,,,,,,,,,,,,,,
,,PPM_dopaminergic_neuron,haltere_thoracic_abdominal_segmental_sensory_neuron,,,,,"water, ppk28",thermosensory_sensillum,,,,DM2_or_DM3_posterior,,,,,,,,,,,,,,,,
,,proboscis_motor_neuron,haustellum_bristle_neuron,,,,,yeasty_volatile,tibia_extensor_muscle,,,,DM3__prim,,,,,,,,,,,,,,,,
,,proximal_distal_medulla_tangential,hDelta,,,,,,tibia_flexor_muscle,,,,DM3_CX_d1,,,,,,,,,,,,,,,,
,,proximal_medulla,hemolymph_sensory_neuron,,,,,,tp1_muscle,,,,DM3_CX_d2,,,,,,,,,,,,,,,,
,,reproductive_tract_sensory_neuron,hind_leg_bilateral_campaniform_sensillum_neuron,,,,,,tp2_muscle,,,,DM3_CX_p,,,,,,,,,,,,,,,,
,,salivary_motor_neuron,hind_leg_bristle_neuron,,,,,,tpn_muscle,,,,DM3_CX_v,,,,,,,,,,,,,,,,
,,sequential_leg_neuromeres,hind_leg_chordotonal_organ_neuron,,,,,,transverse_horizontal_1_muscle,,,,DM3_dorso_lateral,,,,,,,,,,,,,,,,
,,serpentine_medulla,hind_leg_claw_chordotonal_organ_neuron,,,,,,transverse_horizontal_2_muscle,,,,DM3_dorso_medial,,,,,,,,,,,,,,,,
,,single_leg_neuromere,hind_leg_club_chordotonal_organ_neuron,,,,,,trochanter_extensor_muscle,,,,DM4__prim,,,,,,,,,,,,,,,,
,,strand_neuron,hind_leg_hair_plate_neuron,,,,,,trochanter_flexor_muscle,,,,DM4_CX_d1,,,,,,,,,,,,,,,,
,,subesophageal_zone_neurosecretory_cell,hind_leg_hook_chordotonal_organ_neuron,,,,,,unknown_thoracic_abdominal_segmental,,,,DM4_CX_d2,,,,,,,,,,,,,,,,
,,subesophageal_zone_projection_neuron,hind_leg_motor_neuron,,,,,,ventral_longitudinal_1_muscle,,,,DM4_CX_d3,,,,,,,,,,,,,,,,
,,taste_bristle_gustatory_neuron,hind_leg_multidendritic_neuron,,,,,,ventral_longitudinal_2_muscle,,,,DM4_CX_p,,,,,,,,,,,,,,,,
,,taste_bristle_neuron,hind_leg_neurosecretory_cell,,,,,,wing_muscle,,,,DM4_CX_v,,,,,,,,,,,,,,,,
,,taste_bristle_tactile_neuron,hind_leg_orphan_neuron,,,,,,,,,,DM4_dorsal,,,,,,,,,,,,,,,,
,,taste_peg_gustatory_neuron,hind_leg_taste_bristle_gustatory_neuron,,,,,,,,,,DM4_ventral,,,,,,,,,,,,,,,,
,,taste_peg_tactile_neuron,hind_leg_taste_bristle_tactile_neuron,,,,,,,,,,DM5_central,,,,,,,,,,,,,,,,
,,thermosensory_receptor_neuron,internal_thermosensory_receptor_neuron,,,,,,,,,,DM5_ventral,,,,,,,,,,,,,,,,
,,thoracic_abdominal_segmental_motor_neuron,interocellar_bristle_neuron,,,,,,,,,,DM6__prim,,,,,,,,,,,,,,,,
,,thoracic_abdominal_segmental_sensory_neuron,interommatidial_bristle_neuron,,,,,,,,,,DM6_central1,,,,,,,,,,,,,,,,
,,translobula_plate,johnstons_organ_A_neuron,,,,,,,,,,DM6_central1__prim,,,,,,,,,,,,,,,,
,,transmedullary,johnstons_organ_B_neuron,,,,,,,,,,DM6_central2,,,,,,,,,,,,,,,,
,,transmedullary_y,johnstons_organ_C_neuron,,,,,,,,,,DM6_dorso_lateral,,,,,,,,,,,,,,,,
,,transverse_neuron,johnstons_organ_D_neuron,,,,,,,,,,DM6_dorso_medial,,,,,,,,,,,,,,,,
,,tubercular_bulbar_neuron,johnstons_organ_E_neuron,,,,,,,,,,DM6_IbSpsP,,,,,,,,,,,,,,,,
,,unknown_motor_neuron,johnstons_organ_F_neuron,,,,,,,,,,DM6_posterior,,,,,,,,,,,,,,,,
,,unknown_thoracic_abdominal_motor_neuron,johnstons_organ_neuron,,,,,,,,,,DM6_ventral,,,,,,,,,,,,,,,,
,,uterus_motor_neuron,johnstons_organ_other_neuron,,,,,,,,,,EBa1,,,,,,,,,,,,,,,,
,,ventral_nerve_cord_bilateral_interconnecting,KC,,,,,,,,,,FLAa1,,,,,,,,,,,,,,,,
