vertex_id,root_626,super_class,cell_type,betweenness
389,720575941610056166,ventral_nerve_cord_intrinsic,IN06A033,104.7835415386936
390,720575941449027918,optic_lobe_intrinsic,T2,0.0
391,720575941429231969,ventral_nerve_cord_intrinsic,IN21A001,939.1472791282984
392,720575941557149199,optic_lobe_intrinsic,T5c,0.0
393,720575941414121500,central_brain_intrinsic,PEN_a(PEN1),0.0
394,720575941439756891,optic_lobe_intrinsic,T4c,0.0
395,720575941516153849,central_brain_intrinsic,CB0141,27.85417198460184
396,720575941562667520,central_brain_intrinsic,CB0265,94.68912544729854
397,720575941519345624,central_brain_intrinsic,CB.FB1E0,0.0
398,720575941391127958,central_brain_intrinsic,ER3w,0.0
399,720575941566679598,ascending,AN10B024,125.44575652669086
400,720575941508298786,descending,DNg43,694.8527434009438
401,720575941612286428,descending,DNge091,1123.830014761186
402,720575941576759385,optic_lobe_intrinsic,T4d,0.0
403,720575941540488397,central_brain_intrinsic,"SMP501,SMP502",127.90606386140912
404,720575941595093105,central_brain_intrinsic,CB0462,381.5389029493392
405,720575941620279935,optic_lobe_intrinsic,Li16,0.0045103748109171
406,720575941633589179,ascending,AN06B002,9359.849634163624
407,720575941501713803,optic_lobe_intrinsic,Mi9,0.0
408,720575941592873000,ventral_nerve_cord_intrinsic,IN20A.22A006,1967.962379789012
409,720575941504147435,ventral_nerve_cord_intrinsic,IN09A011,12798.37185420164
410,720575941632959685,,,0.0778645230592731
411,720575941461249747,ventral_nerve_cord_intrinsic,IN19A007,1963.3823668235848
412,720575941539557874,,,0.0
413,720575941645792968,ventral_nerve_cord_intrinsic,IN01B003,6215.432862868378
414,720575941439271980,sensory,SNppxx,151.2703520808769
415,720575941496655232,ventral_nerve_cord_intrinsic,IN20A.22A024,36.72892263342977
416,720575941557728164,,,1.4280594007721907
417,720575941723592250,,,0.023570812070222
418,720575941580347985,ventral_nerve_cord_intrinsic,IN05B039,1633.8000111855913
419,720575941572358664,optic_lobe_intrinsic,Tm1,0.0
420,720575941477365044,ventral_nerve_cord_intrinsic,IN16B033,710.2206590367101
421,720575941505022514,central_brain_intrinsic,DP1m_adPN,158.3992618803043
422,720575941643861349,,,0.0
423,720575941578031961,sensory,JO-E,226.4264171865429
424,720575941571319198,ventral_nerve_cord_intrinsic,IN12B011,1003.4624678855226
425,720575941454933485,optic_lobe_intrinsic,Mi1,27.32400096341727
426,720575941612891100,visual_projection,LC18,0.0
427,720575941669499057,optic_lobe_intrinsic,Mi4,0.0
428,720575941471458059,ventral_nerve_cord_intrinsic,IN23B018,953.7240751146117
429,720575941451462266,,,0.0015709930361525
430,720575941400730403,ventral_nerve_cord_intrinsic,IN14A017,27.041232869513674
431,720575941573816827,,,0.0
432,720575941615425945,,,0.0339899454773949
433,720575941494486727,central_brain_intrinsic,,27.28533428102431
434,720575941507554117,,,43.6354269330139
435,720575941508538497,visual_projection,MTe15,0.0551842565851012
